# Best fit model.
# chi^2=2.110000e+01.
# z_eff=0.912477.
# Parameters:   1.3924e+00   1.0245e+00  -1.1449e-01  -2.7454e+00   5.2156e+00   1.0115e+00
#         ell        C_l_a        C_l_x
   5.2000e+02   4.0187e-06   5.6560e-08
   5.2100e+02   4.0152e-06   5.6418e-08
   5.2200e+02   4.0118e-06   5.6277e-08
   5.2300e+02   4.0083e-06   5.6137e-08
   5.2400e+02   4.0049e-06   5.5998e-08
   5.2500e+02   4.0015e-06   5.5859e-08
   5.2600e+02   3.9981e-06   5.5722e-08
   5.2700e+02   3.9947e-06   5.5585e-08
   5.2800e+02   3.9913e-06   5.5449e-08
   5.2900e+02   3.9880e-06   5.5313e-08
   5.3000e+02   3.9846e-06   5.5179e-08
   5.3100e+02   3.9813e-06   5.5045e-08
   5.3200e+02   3.9780e-06   5.4912e-08
   5.3300e+02   3.9747e-06   5.4779e-08
   5.3400e+02   3.9715e-06   5.4648e-08
   5.3500e+02   3.9682e-06   5.4516e-08
   5.3600e+02   3.9649e-06   5.4386e-08
   5.3700e+02   3.9617e-06   5.4256e-08
   5.3800e+02   3.9585e-06   5.4127e-08
   5.3900e+02   3.9552e-06   5.3998e-08
   5.4000e+02   3.9520e-06   5.3870e-08
   5.4100e+02   3.9488e-06   5.3742e-08
   5.4200e+02   3.9456e-06   5.3615e-08
   5.4300e+02   3.9424e-06   5.3489e-08
   5.4400e+02   3.9392e-06   5.3363e-08
   5.4500e+02   3.9360e-06   5.3237e-08
