# Best fit model.
# chi^2=2.710200e+01.
# z_eff=0.470567.
# Parameters:   8.8106e-01   8.0168e-01   4.0120e-01   1.9265e-01   2.5189e+00   9.7549e-01
#         ell        C_l_a        C_l_x
   1.7400e+02   1.5490e-05   2.1446e-07
   1.7500e+02   1.5400e-05   2.1274e-07
   1.7600e+02   1.5311e-05   2.1104e-07
   1.7700e+02   1.5221e-05   2.0934e-07
   1.7800e+02   1.5132e-05   2.0764e-07
   1.7900e+02   1.5043e-05   2.0596e-07
   1.8000e+02   1.4955e-05   2.0429e-07
   1.8100e+02   1.4867e-05   2.0263e-07
   1.8200e+02   1.4779e-05   2.0098e-07
   1.8300e+02   1.4692e-05   1.9934e-07
   1.8400e+02   1.4606e-05   1.9772e-07
   1.8500e+02   1.4521e-05   1.9611e-07
   1.8600e+02   1.4437e-05   1.9451e-07
   1.8700e+02   1.4353e-05   1.9293e-07
   1.8800e+02   1.4270e-05   1.9136e-07
   1.8900e+02   1.4188e-05   1.8981e-07
   1.9000e+02   1.4107e-05   1.8828e-07
   1.9100e+02   1.4027e-05   1.8676e-07
   1.9200e+02   1.3948e-05   1.8526e-07
   1.9300e+02   1.3870e-05   1.8378e-07
   1.9400e+02   1.3794e-05   1.8232e-07
   1.9500e+02   1.3718e-05   1.8087e-07
   1.9600e+02   1.3643e-05   1.7945e-07
   1.9700e+02   1.3570e-05   1.7804e-07
   1.9800e+02   1.3498e-05   1.7666e-07
   1.9900e+02   1.3427e-05   1.7529e-07
   2.0000e+02   1.3358e-05   1.7395e-07
   2.0100e+02   1.3290e-05   1.7263e-07
   2.0200e+02   1.3223e-05   1.7133e-07
   2.0300e+02   1.3157e-05   1.7005e-07
   2.0400e+02   1.3092e-05   1.6879e-07
   2.0500e+02   1.3029e-05   1.6755e-07
   2.0600e+02   1.2967e-05   1.6633e-07
   2.0700e+02   1.2906e-05   1.6514e-07
   2.0800e+02   1.2846e-05   1.6396e-07
   2.0900e+02   1.2788e-05   1.6280e-07
   2.1000e+02   1.2730e-05   1.6166e-07
   2.1100e+02   1.2674e-05   1.6054e-07
   2.1200e+02   1.2619e-05   1.5943e-07
   2.1300e+02   1.2565e-05   1.5835e-07
   2.1400e+02   1.2511e-05   1.5729e-07
   2.1500e+02   1.2459e-05   1.5624e-07
   2.1600e+02   1.2408e-05   1.5521e-07
   2.1700e+02   1.2358e-05   1.5420e-07
   2.1800e+02   1.2309e-05   1.5321e-07
   2.1900e+02   1.2261e-05   1.5223e-07
   2.2000e+02   1.2213e-05   1.5127e-07
   2.2100e+02   1.2167e-05   1.5032e-07
   2.2200e+02   1.2121e-05   1.4939e-07
   2.2300e+02   1.2076e-05   1.4848e-07
   2.2400e+02   1.2032e-05   1.4758e-07
   2.2500e+02   1.1988e-05   1.4669e-07
   2.2600e+02   1.1945e-05   1.4581e-07
   2.2700e+02   1.1903e-05   1.4495e-07
   2.2800e+02   1.1861e-05   1.4410e-07
   2.2900e+02   1.1820e-05   1.4327e-07
   2.3000e+02   1.1779e-05   1.4244e-07
   2.3100e+02   1.1739e-05   1.4162e-07
   2.3200e+02   1.1699e-05   1.4082e-07
   2.3300e+02   1.1660e-05   1.4003e-07
   2.3400e+02   1.1621e-05   1.3924e-07
   2.3500e+02   1.1583e-05   1.3846e-07
   2.3600e+02   1.1544e-05   1.3770e-07
   2.3700e+02   1.1506e-05   1.3694e-07
   2.3800e+02   1.1469e-05   1.3619e-07
   2.3900e+02   1.1432e-05   1.3545e-07
   2.4000e+02   1.1395e-05   1.3472e-07
   2.4100e+02   1.1358e-05   1.3399e-07
   2.4200e+02   1.1322e-05   1.3327e-07
   2.4300e+02   1.1286e-05   1.3256e-07
   2.4400e+02   1.1250e-05   1.3185e-07
   2.4500e+02   1.1215e-05   1.3115e-07
   2.4600e+02   1.1179e-05   1.3046e-07
   2.4700e+02   1.1144e-05   1.2977e-07
   2.4800e+02   1.1109e-05   1.2909e-07
