# Best fit model.
# chi^2=2.309000e+01.
# z_eff=0.623972.
# Parameters:   9.9745e-01  -2.1636e+00  -4.7088e-01  -5.8266e+00   2.4269e+00   1.0371e+00
#         ell        C_l_a        C_l_x
   3.2800e+02   6.3380e-06   8.8424e-08
   3.2900e+02   6.3205e-06   8.8035e-08
   3.3000e+02   6.3031e-06   8.7647e-08
   3.3100e+02   6.2857e-06   8.7262e-08
   3.3200e+02   6.2685e-06   8.6878e-08
   3.3300e+02   6.2513e-06   8.6497e-08
   3.3400e+02   6.2343e-06   8.6117e-08
   3.3500e+02   6.2173e-06   8.5740e-08
   3.3600e+02   6.2004e-06   8.5365e-08
   3.3700e+02   6.1837e-06   8.4992e-08
   3.3800e+02   6.1670e-06   8.4622e-08
   3.3900e+02   6.1505e-06   8.4254e-08
   3.4000e+02   6.1341e-06   8.3888e-08
   3.4100e+02   6.1178e-06   8.3524e-08
   3.4200e+02   6.1016e-06   8.3163e-08
   3.4300e+02   6.0856e-06   8.2804e-08
   3.4400e+02   6.0696e-06   8.2448e-08
   3.4500e+02   6.0538e-06   8.2094e-08
   3.4600e+02   6.0382e-06   8.1743e-08
   3.4700e+02   6.0226e-06   8.1394e-08
   3.4800e+02   6.0072e-06   8.1048e-08
   3.4900e+02   5.9919e-06   8.0704e-08
   3.5000e+02   5.9767e-06   8.0362e-08
   3.5100e+02   5.9617e-06   8.0023e-08
   3.5200e+02   5.9468e-06   7.9687e-08
   3.5300e+02   5.9320e-06   7.9353e-08
   3.5400e+02   5.9174e-06   7.9022e-08
   3.5500e+02   5.9029e-06   7.8694e-08
   3.5600e+02   5.8885e-06   7.8368e-08
   3.5700e+02   5.8742e-06   7.8044e-08
   3.5800e+02   5.8601e-06   7.7724e-08
   3.5900e+02   5.8462e-06   7.7406e-08
   3.6000e+02   5.8323e-06   7.7091e-08
   3.6100e+02   5.8186e-06   7.6778e-08
   3.6200e+02   5.8050e-06   7.6468e-08
   3.6300e+02   5.7916e-06   7.6161e-08
   3.6400e+02   5.7783e-06   7.5857e-08
   3.6500e+02   5.7651e-06   7.5555e-08
   3.6600e+02   5.7521e-06   7.5256e-08
   3.6700e+02   5.7393e-06   7.4960e-08
   3.6800e+02   5.7265e-06   7.4667e-08
   3.6900e+02   5.7139e-06   7.4376e-08
   3.7000e+02   5.7014e-06   7.4089e-08
   3.7100e+02   5.6891e-06   7.3803e-08
   3.7200e+02   5.6769e-06   7.3521e-08
   3.7300e+02   5.6648e-06   7.3241e-08
   3.7400e+02   5.6529e-06   7.2964e-08
   3.7500e+02   5.6411e-06   7.2690e-08
   3.7600e+02   5.6293e-06   7.2418e-08
   3.7700e+02   5.6178e-06   7.2149e-08
   3.7800e+02   5.6063e-06   7.1882e-08
   3.7900e+02   5.5949e-06   7.1617e-08
   3.8000e+02   5.5836e-06   7.1355e-08
   3.8100e+02   5.5725e-06   7.1095e-08
   3.8200e+02   5.5614e-06   7.0838e-08
   3.8300e+02   5.5505e-06   7.0583e-08
   3.8400e+02   5.5396e-06   7.0330e-08
   3.8500e+02   5.5289e-06   7.0080e-08
   3.8600e+02   5.5182e-06   6.9832e-08
   3.8700e+02   5.5076e-06   6.9586e-08
   3.8800e+02   5.4971e-06   6.9342e-08
   3.8900e+02   5.4867e-06   6.9100e-08
   3.9000e+02   5.4764e-06   6.8861e-08
   3.9100e+02   5.4662e-06   6.8623e-08
   3.9200e+02   5.4560e-06   6.8388e-08
   3.9300e+02   5.4459e-06   6.8154e-08
   3.9400e+02   5.4359e-06   6.7923e-08
   3.9500e+02   5.4259e-06   6.7693e-08
   3.9600e+02   5.4160e-06   6.7466e-08
   3.9700e+02   5.4062e-06   6.7240e-08
   3.9800e+02   5.3964e-06   6.7016e-08
   3.9900e+02   5.3867e-06   6.6794e-08
   4.0000e+02   5.3771e-06   6.6573e-08
   4.0100e+02   5.3675e-06   6.6355e-08
   4.0200e+02   5.3580e-06   6.6138e-08
   4.0300e+02   5.3485e-06   6.5923e-08
   4.0400e+02   5.3391e-06   6.5710e-08
   4.0500e+02   5.3297e-06   6.5498e-08
   4.0600e+02   5.3204e-06   6.5288e-08
   4.0700e+02   5.3112e-06   6.5079e-08
   4.0800e+02   5.3020e-06   6.4872e-08
   4.0900e+02   5.2929e-06   6.4667e-08
   4.1000e+02   5.2838e-06   6.4463e-08
   4.1100e+02   5.2748e-06   6.4260e-08
   4.1200e+02   5.2658e-06   6.4059e-08
   4.1300e+02   5.2568e-06   6.3860e-08
   4.1400e+02   5.2479e-06   6.3661e-08
   4.1500e+02   5.2391e-06   6.3464e-08
   4.1600e+02   5.2303e-06   6.3269e-08
   4.1700e+02   5.2216e-06   6.3075e-08
   4.1800e+02   5.2129e-06   6.2882e-08
   4.1900e+02   5.2042e-06   6.2690e-08
   4.2000e+02   5.1956e-06   6.2500e-08
   4.2100e+02   5.1870e-06   6.2311e-08
   4.2200e+02   5.1785e-06   6.2123e-08
   4.2300e+02   5.1700e-06   6.1936e-08
   4.2400e+02   5.1616e-06   6.1750e-08
   4.2500e+02   5.1531e-06   6.1565e-08
   4.2600e+02   5.1448e-06   6.1382e-08
   4.2700e+02   5.1364e-06   6.1199e-08
   4.2800e+02   5.1281e-06   6.1018e-08
   4.2900e+02   5.1199e-06   6.0837e-08
   4.3000e+02   5.1117e-06   6.0657e-08
   4.3100e+02   5.1035e-06   6.0479e-08
   4.3200e+02   5.0953e-06   6.0301e-08
   4.3300e+02   5.0872e-06   6.0124e-08
   4.3400e+02   5.0791e-06   5.9949e-08
   4.3500e+02   5.0711e-06   5.9774e-08
   4.3600e+02   5.0631e-06   5.9600e-08
   4.3700e+02   5.0551e-06   5.9427e-08
   4.3800e+02   5.0472e-06   5.9255e-08
   4.3900e+02   5.0393e-06   5.9084e-08
   4.4000e+02   5.0315e-06   5.8914e-08
   4.4100e+02   5.0237e-06   5.8745e-08
   4.4200e+02   5.0159e-06   5.8577e-08
   4.4300e+02   5.0082e-06   5.8410e-08
   4.4400e+02   5.0005e-06   5.8244e-08
   4.4500e+02   4.9928e-06   5.8079e-08
   4.4600e+02   4.9852e-06   5.7915e-08
   4.4700e+02   4.9777e-06   5.7751e-08
   4.4800e+02   4.9701e-06   5.7589e-08
   4.4900e+02   4.9626e-06   5.7428e-08
   4.5000e+02   4.9552e-06   5.7267e-08
   4.5100e+02   4.9478e-06   5.7107e-08
   4.5200e+02   4.9404e-06   5.6949e-08
   4.5300e+02   4.9331e-06   5.6791e-08
   4.5400e+02   4.9258e-06   5.6634e-08
   4.5500e+02   4.9186e-06   5.6478e-08
   4.5600e+02   4.9114e-06   5.6323e-08
   4.5700e+02   4.9042e-06   5.6169e-08
   4.5800e+02   4.8971e-06   5.6016e-08
   4.5900e+02   4.8900e-06   5.5864e-08
   4.6000e+02   4.8830e-06   5.5713e-08
   4.6100e+02   4.8760e-06   5.5562e-08
   4.6200e+02   4.8691e-06   5.5413e-08
   4.6300e+02   4.8622e-06   5.5264e-08
   4.6400e+02   4.8553e-06   5.5117e-08
   4.6500e+02   4.8485e-06   5.4970e-08
   4.6600e+02   4.8417e-06   5.4824e-08
   4.6700e+02   4.8350e-06   5.4679e-08
   4.6800e+02   4.8283e-06   5.4535e-08
   4.6900e+02   4.8216e-06   5.4392e-08
   4.7000e+02   4.8150e-06   5.4250e-08
   4.7100e+02   4.8085e-06   5.4108e-08
   4.7200e+02   4.8019e-06   5.3967e-08
   4.7300e+02   4.7955e-06   5.3828e-08
   4.7400e+02   4.7890e-06   5.3689e-08
   4.7500e+02   4.7826e-06   5.3551e-08
   4.7600e+02   4.7762e-06   5.3414e-08
   4.7700e+02   4.7699e-06   5.3277e-08
   4.7800e+02   4.7636e-06   5.3142e-08
   4.7900e+02   4.7574e-06   5.3007e-08
   4.8000e+02   4.7512e-06   5.2874e-08
   4.8100e+02   4.7450e-06   5.2741e-08
   4.8200e+02   4.7389e-06   5.2609e-08
   4.8300e+02   4.7328e-06   5.2477e-08
   4.8400e+02   4.7267e-06   5.2347e-08
   4.8500e+02   4.7207e-06   5.2217e-08
   4.8600e+02   4.7147e-06   5.2089e-08
   4.8700e+02   4.7087e-06   5.1961e-08
   4.8800e+02   4.7028e-06   5.1833e-08
   4.8900e+02   4.6969e-06   5.1707e-08
   4.9000e+02   4.6910e-06   5.1581e-08
   4.9100e+02   4.6852e-06   5.1457e-08
   4.9200e+02   4.6794e-06   5.1333e-08
   4.9300e+02   4.6737e-06   5.1209e-08
   4.9400e+02   4.6680e-06   5.1087e-08
   4.9500e+02   4.6623e-06   5.0965e-08
   4.9600e+02   4.6566e-06   5.0845e-08
   4.9700e+02   4.6510e-06   5.0724e-08
   4.9800e+02   4.6454e-06   5.0605e-08
   4.9900e+02   4.6399e-06   5.0487e-08
   5.0000e+02   4.6343e-06   5.0369e-08
   5.0100e+02   4.6288e-06   5.0252e-08
   5.0200e+02   4.6234e-06   5.0136e-08
   5.0300e+02   4.6179e-06   5.0020e-08
   5.0400e+02   4.6125e-06   4.9905e-08
   5.0500e+02   4.6072e-06   4.9791e-08
   5.0600e+02   4.6018e-06   4.9678e-08
   5.0700e+02   4.5965e-06   4.9565e-08
   5.0800e+02   4.5912e-06   4.9453e-08
   5.0900e+02   4.5860e-06   4.9342e-08
   5.1000e+02   4.5807e-06   4.9232e-08
   5.1100e+02   4.5755e-06   4.9122e-08
   5.1200e+02   4.5704e-06   4.9013e-08
   5.1300e+02   4.5652e-06   4.8905e-08
   5.1400e+02   4.5601e-06   4.8797e-08
   5.1500e+02   4.5550e-06   4.8690e-08
   5.1600e+02   4.5499e-06   4.8583e-08
   5.1700e+02   4.5449e-06   4.8478e-08
   5.1800e+02   4.5399e-06   4.8373e-08
   5.1900e+02   4.5349e-06   4.8268e-08
   5.2000e+02   4.5300e-06   4.8165e-08
   5.2100e+02   4.5250e-06   4.8062e-08
   5.2200e+02   4.5201e-06   4.7959e-08
   5.2300e+02   4.5152e-06   4.7857e-08
   5.2400e+02   4.5104e-06   4.7756e-08
   5.2500e+02   4.5056e-06   4.7655e-08
   5.2600e+02   4.5007e-06   4.7556e-08
   5.2700e+02   4.4960e-06   4.7456e-08
   5.2800e+02   4.4912e-06   4.7357e-08
   5.2900e+02   4.4865e-06   4.7259e-08
   5.3000e+02   4.4818e-06   4.7162e-08
   5.3100e+02   4.4771e-06   4.7065e-08
   5.3200e+02   4.4724e-06   4.6968e-08
   5.3300e+02   4.4678e-06   4.6873e-08
   5.3400e+02   4.4632e-06   4.6777e-08
   5.3500e+02   4.4586e-06   4.6683e-08
   5.3600e+02   4.4540e-06   4.6589e-08
   5.3700e+02   4.4494e-06   4.6495e-08
   5.3800e+02   4.4449e-06   4.6402e-08
   5.3900e+02   4.4404e-06   4.6309e-08
   5.4000e+02   4.4359e-06   4.6217e-08
   5.4100e+02   4.4314e-06   4.6126e-08
   5.4200e+02   4.4270e-06   4.6035e-08
   5.4300e+02   4.4226e-06   4.5945e-08
   5.4400e+02   4.4182e-06   4.5855e-08
   5.4500e+02   4.4138e-06   4.5766e-08
