# zmin zmax all_combined bin_1_combined bin_2_combined bin_3_combined bin_4_combined all_north bin_1_north bin_2_north bin_3_north bin_4_north all_south bin_1_south bin_2_south bin_3_south bin_4_south
1.29 1.3 0.173 0.001 0.002 0.003 0.027 0.184 0.000 0.001 0.002 0.035 0.168 0.002 0.002 0.004 0.023
1.3 1.31 0.142 0.000 0.001 0.003 0.017 0.128 0.000 0.000 0.006 0.012 0.149 0.000 0.001 0.003 0.019
1.31 1.32 0.147 0.002 0.006 0.009 0.025 0.120 0.000 0.003 0.006 0.017 0.159 0.003 0.007 0.010 0.029
1.32 1.33 0.135 0.002 0.003 0.007 0.021 0.143 0.003 0.002 0.003 0.017 0.131 0.002 0.003 0.008 0.022
1.33 1.34 0.091 0.000 0.001 0.002 0.011 0.094 0.000 0.000 0.003 0.006 0.090 0.000 0.001 0.002 0.013
1.34 1.35 0.084 0.000 0.001 0.001 0.008 0.088 0.000 0.001 0.002 0.008 0.082 0.000 0.001 0.001 0.008
1.35 1.36 0.073 0.000 0.002 0.003 0.009 0.061 0.000 0.002 0.003 0.006 0.078 0.000 0.002 0.003 0.010
1.36 1.37 0.061 0.000 0.001 0.004 0.010 0.061 0.000 0.000 0.002 0.014 0.061 0.000 0.001 0.005 0.008
1.37 1.38 0.051 0.000 0.000 0.002 0.006 0.064 0.000 0.000 0.000 0.003 0.045 0.001 0.000 0.002 0.007
1.38 1.39 0.041 0.000 0.002 0.002 0.006 0.035 0.000 0.002 0.000 0.006 0.044 0.001 0.002 0.002 0.006
1.39 1.4 0.035 0.000 0.000 0.002 0.004 0.029 0.000 0.000 0.003 0.003 0.039 0.000 0.001 0.001 0.004
1.4 1.41 0.034 0.000 0.000 0.001 0.003 0.032 0.000 0.000 0.003 0.003 0.035 0.001 0.000 0.001 0.003
1.41 1.42 0.030 0.000 0.001 0.002 0.003 0.035 0.002 0.000 0.003 0.003 0.028 0.000 0.002 0.001 0.003
1.42 1.43 0.023 0.000 0.000 0.001 0.003 0.025 0.000 0.000 0.000 0.003 0.022 0.001 0.001 0.001 0.003
1.43 1.44 0.019 0.000 0.000 0.001 0.002 0.009 0.000 0.000 0.000 0.000 0.023 0.000 0.000 0.001 0.003
1.44 1.45 0.019 0.000 0.001 0.002 0.001 0.017 0.000 0.002 0.002 0.000 0.019 0.001 0.000 0.002 0.002
1.45 1.46 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
1.46 1.47 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
1.47 1.48 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
1.48 1.49 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
